,recomm,words,words_Update
烤羊腿,3569,烤羊-腿,烤羊-羊腿
香辣虾,3536,香辣虾,香辣-虾
大拌菜,3534,大拌-菜,大拌菜
鸳鸯鱼头王,3509,鸳鸯-鱼头-王,鸳鸯-鱼头
越式牛肉粒,3425,越式-牛肉-粒,越式-牛肉粒
叉烧,3398,叉烧,叉烧
纸包鸡翅,3395,纸包-鸡翅,纸包-鸡翅
羊蝎子,3395,羊蝎子,羊蝎子
农家小炒肉,3391,农家-小炒-肉,农家-小炒肉
鲍鱼,3382,鲍鱼,鲍鱼
雪花牛肉,3340,雪花-牛肉,雪花-牛肉
宫爆鸡丁,3333,宫爆鸡丁,宫爆-鸡丁
羊肉,3333,羊肉,羊肉
烤羊排,3330,烤羊-排,烤羊-羊排
奶油猪仔包,3322,奶油-猪仔-包,奶油-猪仔-包
烤肉,3319,烤肉,烤肉
麻酱油麦菜,3294,麻酱-油麦-菜,麻酱-油麦-菜
红菜汤,3289,红-菜汤,红-菜汤
冬阴功汤,3284,冬阴功-汤,冬阴功-汤
茴香豆,3281,茴香豆,茴香豆
果木烤鸭,3279,果木-烤鸭,果木-烤鸭
糖醋里脊,3260,糖醋-里脊,糖醋-里脊
豉汁凤爪,3260,豉汁-凤爪,豉汁-凤爪
清蒸鲥鱼,3256,清蒸-鲥鱼,清蒸-鲥鱼
罐焖牛肉,3247,罐-焖牛肉,罐-焖-牛肉
炸酱面,3218,炸酱面,炸酱面
蟹粉豆腐,3185,蟹粉-豆腐,蟹粉-豆腐
烤生蚝,3171,烤生-蚝,烤-生蚝
牛肉,3127,牛肉,牛肉
蛋黄鸡翅,3125,蛋黄-鸡翅,蛋黄-鸡翅
羊排,3098,羊排,羊排
响油鳝糊,3094,响油鳝-糊,响油-鳝糊
菠萝包,3064,菠萝包,菠萝包
妈妈大拉皮,3060,妈妈-大-拉皮,妈妈-大-拉皮
油爆虾,3033,油爆-虾,油爆-虾
秘制串烧虾,3033,秘制-串烧-虾,秘制-串烧-虾
桂花山药,3009,桂花-山药,桂花-山药
黄花鱼水饺,2977,黄花鱼-水饺,黄花鱼-水饺
葫芦鸡,2969,葫芦-鸡,葫芦-鸡
麻辣兔头,2958,麻辣-兔头,麻辣-兔头
麻辣牛肉,2953,麻辣-牛肉,麻辣-牛肉
烤鸭包,2907,烤鸭-包,烤鸭-包
肥牛,2898,肥牛,肥牛
干炸丸子,2891,干-炸丸子,干炸-丸子
马德里薄切生牛肉,2882,马德里-薄切生-牛肉,马德里-薄切生-牛肉
菠萝油条虾,2866,菠萝油-条虾,菠萝油-条虾
烤羊肉,2861,烤羊肉,烤羊肉
烤鸡翅,2849,烤鸡-翅,烤鸡-翅
红烧乳鸽,2818,红烧-乳鸽,红烧-乳鸽
水晶虾饺皇,2817,水晶-虾饺-皇,水晶-虾饺-皇
蒸凤爪,2812,蒸-凤爪,蒸-凤爪
